redstone_print_and_mail_id,fire_dept,fire_chief,full_address,address,city,state,zip,office_number,fax_number,general_email,chief_email,dept_website,city_website,macs_designator,personnel,county,fire_dept_id,data_as_of
25,"Aptos/La Selva Fire 	Protection Dist.","Tom Crosser , Fire Chief","6934 Soquel Drive Aptos CA 95003","6934 Soquel Drive",Aptos,CA,95003,"(831) 685- 6690","(831) 685- 6699",,tomc@aptosfire.com,www.aptosfire.com,,APT,Paid,"Santa Cruz",44005,"Feb 2019"
26,"Arbuckle	-College City Fire Protection Dist.","Casey Cox , Fire Chief","P.O. Box 727 Arbuckle CA 95912","P.O. Box 727",Arbuckle,CA,95912,"(530) 476- 2231","(530) 476- 3031",,,,,ARB,"Mostly Volunteer",Colusa,06005,"Feb 2019"
27,"Arcadia Fire Dept.","Michael Lang, Fire Chief","710 S. Santa Anita Ave. Arcadia CA 91006","710 S. Santa Anita Ave.",Arcadia,CA,91006,"(626) 574- 5100","(626) 446- 7410",,mlang@arcadiaca.gov,www.ci.arcadia.ca.us/home/index.asp?page=662,www.ci.arcadia.ca.us,ARC,Paid,"Los Angeles",19010,"Feb 2019"
28,"Arcata Fire District","Justin McDonald , Fire Chief","2149  Central Avenue McKinleyville CA 95519","2149  Central Avenue",McKinleyville,CA,95519,"(707) 825- 2000","(707) 822- 7951",,jmcdonald@arcatafire.org,www.arcatafire.org,www.arcatacityhall.org,ARF,"Mostly  Volunteer",Humboldt,12140,"Feb 2019"
29,"Aromas Tri	-Country Fire Protection Dist.","George Haines , Fire Chief","2221 Garden Rd. Monterey CA 93940","2221 Garden Rd.",Monterey,CA,93940,"(831) 333- 2600","(831) 333- 2660",,george.haines@fire.ca.gov,www.fire.ca.gov,,ATC,Paid,Monterey,27005,"Feb 2019"
30,"Arrowbear Lake County Water Dist.","Seth Burt , Fire Chief","P.O. Box 4045 Running Springs CA 92382","P.O. Box 4045","Running Springs",CA,92382,"(909) 867- 3479","(909) 867- 4736",,,,,ABL,Volunteer,"San Bernardino",36025,"Feb 2019"
31,"Artois Fire Protection Dist.","Jack Cavier, Jr. , Fire Chief","P.O. Box 158 Artois CA 95913","P.O. Box 158",Artois,CA,95913,"(530) 934- 5351","(530) 934- 9365",,,,,ART,Volunteer,Glenn,11005,"Feb 2019"
32,"Atascadero City Fire Dept.","Casey Bryson , Fire Chief","6005 Lewis Ave. Atascadero CA 93422","6005 Lewis Ave.",Atascadero,CA,93422,"(805) 461- 5070","(805) 466- 2907",eperkins@atascadero.org,cbryson@atascadero.org,www.atascadero.org/fd,www.atascadero.org,ATA,"Mostly Paid","San Luis Obispo",40010,"Feb 2019"
33,"Atascadero State Hospital Fire Dept.","Christopher Stuiber , Fire Chief","P.O. Box 7006 Atascadero CA 93423","P.O. Box 7006",Atascadero,CA,93423,"(805) 468- 2501","(805) 468- 2011",,stuiber@ash.dsh.ca.gov,,,ATS,Paid,"San Luis Obispo",40490,"Feb 2019"
34,"Auberry Volunteer Fire Dept.","Ron Eldridge , Fire Chief","P.O. Box 191 Auberry CA 93602","P.O. Box 191",Auberry,CA,93602,no_office,no_fax,,rone@psnw.com,,,AUB,Volunteer,Fresno,10135,"Feb 2019"
35,"Auburn City Fire Dept.","Mark D&#39;Ambrogi , Fire Chief","1225 Lincoln Way Auburn A 95603","1225 Lincoln Way",Auburn,A,95603,"(530) 823- 4211","(530) 885- 5508",,mdambrogi@auburn.ca.gov,www.auburn.ca.gov/dept/dept_fire.html,www.auburn.ca.gov,ABR,"Mostly Paid",Placer,31010,"Feb 2019"
36,"Avalon Fire Dept.","Steven Hoefs , Fire Chief","P.O. Box 707 Avalon CA 90704","P.O. Box 707",Avalon,CA,90704,"(310) 510- 0203","(310) 510- 0104",fire@cityofavalon.com,shoefs@cityofavalon.com,,//www.cityofavalon.com/content/2542/2552/default.aspx,ABR,"Mostly Paid","AVA   Personnel:  Mostly Volunteer","ERROR extracting [fire_dept_id] field from: MACS Designator:  AVA   Personnel:  Mostly Volunteer","Feb 2019"
37,"County:	 Los Angeles","Fire Dept. ID: 	19015","Avenal State Prison Fire Dept.	 	 Christopher Diaz , Fire Chief ERROR no city field in 1 Kings Wa y    ~line 464 ish ERROR trying to extract [state] from  ~line 472 ish ","Avenal State Prison Fire Dept.	 	 Christopher Diaz , Fire Chief","ERROR no city field in 1 Kings Wa y    ~line 464 ish","ERROR trying to extract [state] from  ~line 472 ish",,"(310) 510- 0203","(310) 510- 0104","(559) 386- 6088   Fax: (559) 386- 6054",,christopher.diaz@cdcr.ca.gov,,ABR,"Mostly Paid","CPA   Personnel: Paid","ERROR extracting [fire_dept_id] field from: MACS Designator:  CPA   Personnel: Paid","Feb 2019"
38,"County:	 Los Angeles","Fire Dept. ID: 	19015","Bakersfield Fire Dept.	 	 Douglas Greener , Fire Chief ERROR no city field in 2101 H Street    ~line 464 ish ERROR trying to extract [state] from  ~line 472 ish ","Bakersfield Fire Dept.	 	 Douglas Greener , Fire Chief","ERROR no city field in 2101 H Street    ~line 464 ish","ERROR trying to extract [state] from  ~line 472 ish",,"(310) 510- 0203","(310) 510- 0104","(661) 326- 3911    Fax: (661) 852- 2170",,dgreener@bakersfieldfire.us,www.bakersfieldcity.us/fire/index.htm,ABR,"Mostly Paid","BKF   Personnel:  Paid","ERROR extracting [fire_dept_id] field from: MACS Designator:  BKF   Personnel:  Paid","Feb 2019"
39,"County:	 Los Angeles","Fire Dept. ID: 	19015","Bald Mountain Volunteer Fire Dept.	 	 Don Ashbrook , Fire Chief ERROR no city field in 41967 Auberry Road    ~line 464 ish ERROR trying to extract [state] from  ~line 472 ish ","Bald Mountain Volunteer Fire Dept.	 	 Don Ashbrook , Fire Chief","ERROR no city field in 41967 Auberry Road    ~line 464 ish","ERROR trying to extract [state] from  ~line 472 ish",,"(310) 510- 0203","(310) 510- 0104","(559) 855- 8443   Fax: (559) 855- 8443",,bmfd@sierra.psnw.com,,ABR,"Mostly Paid","BLD   Personnel: Volunteer","ERROR extracting [fire_dept_id] field from: MACS Designator:  BLD   Personnel: Volunteer","Feb 2019"
40,"County:	 Los Angeles","Fire Dept. ID: 	19015","Baldwin Lake Volunteer Fire Dept.	 	 Lawrence Winslow , Fire Chief ERROR no city field in P.O. Box 2080    ~line 464 ish ERROR trying to extract [state] from  ~line 472 ish ","Baldwin Lake Volunteer Fire Dept.	 	 Lawrence Winslow , Fire Chief","ERROR no city field in P.O. Box 2080    ~line 464 ish","ERROR trying to extract [state] from  ~line 472 ish",,"(310) 510- 0203","(310) 510- 0104","(909) 584- 9911    Fax: (909) 589- 8911",,larrywinslow@charter.net,,ABR,"Mostly Paid","Personnel: Volunteer","ERROR extracting [fire_dept_id] field from: MACS Designator:    Personnel: Volunteer","Feb 2019"
41,"County:	 Los Angeles","Fire Dept. ID: 	19015","Barona Fire Protection Dist.	 	 Randy Sandoval , Fire Chief ERROR no city field in 1112 Barona Rd.     ~line 464 ish ERROR trying to extract [state] from  ~line 472 ish ","Barona Fire Protection Dist.	 	 Randy Sandoval , Fire Chief","ERROR no city field in 1112 Barona Rd.     ~line 464 ish","ERROR trying to extract [state] from  ~line 472 ish",,"(310) 510- 0203","(310) 510- 0104","(619) 390- 2794   Fax: (619) 390- 0730",,rsandoval@baronafire.com,www.baronafire.com,ABR,"Mostly Paid","BBB   Personnel: Paid","ERROR extracting [fire_dept_id] field from: MACS Designator:  BBB   Personnel: Paid","Feb 2019"
42,"County:	 Los Angeles","Fire Dept. ID: 	19015","Barstow Fire Protection Dist.	 	 Darrell Jauss , Fire Chief ERROR no city field in 861 Barstow Road    ~line 464 ish ERROR trying to extract [state] from  ~line 472 ish ","Barstow Fire Protection Dist.	 	 Darrell Jauss , Fire Chief","ERROR no city field in 861 Barstow Road    ~line 464 ish","ERROR trying to extract [state] from  ~line 472 ish",,"(310) 510- 0203","(310) 510- 0104","(760) 256- 2254    Fax: (760) 256- 5314",hadams@barstowfire.com,djauss@barstowfire.com,www.barstowfire.com,ABR,"Mostly Paid","BAR   Personnel:  Paid","ERROR extracting [fire_dept_id] field from: MACS Designator:  BAR   Personnel:  Paid","Feb 2019"
43,"County:	 Los Angeles","Fire Dept. ID: 	19015","Bayer HealthCare Emergency Response Team	 	 Jeffrey Brown , HES ERT Liaison ERROR no city field in P.O. Box  1986    ~line 464 ish ERROR trying to extract [state] from  ~line 472 ish ","Bayer HealthCare Emergency Response Team	 	 Jeffrey Brown , HES ERT Liaison","ERROR no city field in P.O. Box  1986    ~line 464 ish","ERROR trying to extract [state] from  ~line 472 ish",,"(310) 510- 0203","(310) 510- 0104","(510) 705- 4870   Fax: (510) 705- 4936",,jeffrey.bowman.b@bayer.com,,ABR,"Mostly Paid","Personnel: Paid","ERROR extracting [fire_dept_id] field from: MACS Designator:    Personnel: Paid","Feb 2019"
44,"County:	 Los Angeles","Fire Dept. ID: 	19015","Bayliss Fire Protection Dist.	 	 Mike Alves , Fire Chief ERROR no city field in 2561 County Road W    ~line 464 ish ERROR trying to extract [state] from  ~line 472 ish ","Bayliss Fire Protection Dist.	 	 Mike Alves , Fire Chief","ERROR no city field in 2561 County Road W    ~line 464 ish","ERROR trying to extract [state] from  ~line 472 ish",,"(310) 510- 0203","(310) 510- 0104","(530) 934- 4929    Fax:",candmgarcia@yahoo.com,,,ABR,"Mostly Paid","BAY   Personnel:  Volunteer","ERROR extracting [fire_dept_id] field from: MACS Designator:  BAY   Personnel:  Volunteer","Feb 2019"
45,"County:	 Los Angeles","Fire Dept. ID: 	19015","Beale AFB Fire Dept.	 	 Randal Taylor , Chief, Fire&Emergency Service  	 	7195 Firehouse Road Marysville CA -1613","Beale AFB Fire Dept.	 	 Randal Taylor , Chief, Fire&Emergency Service  	 	7195 Firehouse Road",Marysville,CA,-1613,"(530) 634- 8675","(530) 634- 3909",,randal.taylor@beale.af.mil,,www.beale.af.mil,BEA,Paid,Yuba,58830,"Feb 2019"
46,"Bear Valley Fire Dept.","Rick Stephens , Fire Chief","P.O. Box 5430 Arnold CA 95223","P.O. Box 5430",Arnold,CA,95223,"(209) 753- 2321",no_fax,,,,,BRV,"Mostly Volunteer",Alpine,02008,"Feb 2019"
47,"Bear Valley Indian Valley Fire Protection Dist.","Barney Cook , Fire Chief","P.O. Box 127 Stonyford CA 95979","P.O. Box 127",Stonyford,CA,95979,"(530) 963- 3231","(530) 963- 3213",,,,,BIV,Volunteer,Colusa,06040,"Feb 2019"
48,"Beckwourth Fire Dept.","Martin Schafer , Fire Chief","P.O. Box 1 Portola CA 96129","P.O. Box 1",Portola,CA,96129,"(530) 832- 1008","(530) 832- 5828",,,,,BEC,Volunteer,Plumas,32005,"Feb 2019"
49,"Beginnings Volunteer Fire Dept.","Jim Fulton , Fire Chief","P.O. Box 444 Redway CA 95560","P.O. Box 444",Redway,CA,95560,"(707) 923- 2303","(707) 923- 3251",,,,,BGF,Volunteer,Humboldt,12010,"Feb 2019"
50,"Bella Vista Volunteer Fire Company","Rick Sherman , Fire Chief","P.O. Box 220 Bella Vista A 96008","P.O. Box 220","Bella Vista",A,96008,"(530) 549- 5112","(530) 549- 5555",,,,,BVV,Volunteer,Shasta,45955,"Feb 2019"
51,"Belmont Fire Protection Dist.","John Healy , Fire Chief","One Twin Pines Lane, Suite 230 Belmont CA 94002","One Twin Pines Lane, Suite 230",Belmont,CA,94002,"(650) 595- 7492","(650) 637- 2912",fire@belmont.gov,jhealy@belmont.gov,"www.belmont.gov/city -hall/fire/our -department",www.belmont.gov,BSC,Paid,"San Mateo",41085,"Feb 2019"
52,"Ben Lomond Fire Protection Dist.","Stacie Brownlee , Fire Chief","P.O. Box 27 Ben Lomond CA 95005","P.O. Box 27","Ben Lomond",CA,95005,"(831) 336- 5495","(831) 336- 0300",info@benlomondfd.com,blfdchief@benlomondfd.com,www.benlomondfd.com,,BEN,"Mostly Volunteer","Santa Cruz",44015,"Feb 2019"
53,"Benicia Fire Dept.","Joshua Chadwick , Fire Chief","250 East L Street Benicia CA 94510","250 East L Street",Benicia,CA,94510,"(707) 746- 4275",no_fax,firedept@benicia.ca.us,jchadwick@ci.benicia.ca.us,,www.ci.benicia.ca.us,BNC,"Mostly Paid",Solano,48005,"Feb 2019"
54,"Bennett Valley Fire Protection Dist.","Andy Pforsich , Fire Chief","6161 Bennett Valley Rd. Santa Rosa CA 95404","6161 Bennett Valley Rd.","Santa Rosa",CA,95404,"(707) 578- 7761","(707) 829- 1175",,grfd2200@sonic.net,,,BVF,"Mostly Volunteer",Sonoma,49160,"Feb 2019"
55,"Berkeley Fire Dept.","David Brannigan , Interim Fire Chief","2100 Martin Luther King Jr. Way Berkeley CA 94704","2100 Martin Luther King Jr. Way",Berkeley,CA,94704,"(510) 981- 5500","(510) 981- 5579",fire@ci.berkeley.ca.us,dbrannigan@cityofberkeley.info,www.ci.berkeley.ca.us/fire/,www.ci.berkeley.ca.us,BER,Paid,Alameda,01015,"Feb 2019"
56,"Berry Creek Rancheria Volunteer Fire Dept.","Thomas Dingman , Fire Chief","5  Tyme Way Oroville CA 95966","5  Tyme Way",Oroville,CA,95966,"(530) 534- 3859","(530) 534- 1151",,t.dingman@berrycreekrancheria.com,,,,Volunteer,Butte,04045,"Feb 2019"
57,"Beverly 	Hills Fire Dept.","Timothy Scranton , Fire Chief","445 N. Rexford Drive Beverly Hills CA 90210","445 N. Rexford Drive","Beverly Hills",CA,90210,"(310) 281- 2709","(310) 278- 2449",mliongson@beverlyhills.org,tscranton@beverlyhills.org,www.beverlyhills.org,http://www.beverlyhills.org/services/fire/default.asp,BHL,Paid,"Los Angeles",19025,"Feb 2019"
58,"Big Bear City Community Services Dist.","Jeff Willis , Fire Chief","P.O. Box 558 Big  Bear City CA 92314","P.O. Box 558","Big  Bear City",CA,92314,"(909) 585- 2362","(909) 585- 0348",fire@bbccsd.org,fire@bbccsd.org,www.bigbearcityfire.org,www.bbccsd.org,BBC,"Mostly Paid","San Bernardino",36040,"Feb 2019"
59,"Big Bear Fire Authority","Jeff Willis , Fire Chief","P.O. Box 2830 Big Bear Lake CA 92315","P.O. Box 2830","Big Bear Lake",CA,92315,"(909) 866- 7566","(909) 866- 8288",,,www.bigbearfire.com,wwwcityofbigbearlake.com,,Paid,"San Bernardino",0042,"Feb 2019"
60,"Big Bear Lake Fire Department","Jeff Willis , Fire Chief","P.O. Box 10000 Big Bear Lake CA 92315","P.O. Box 10000","Big Bear Lake",CA,92315,"(909) 866- 7566","(909) 866- 8288",fire@bblfd.com,jeff.willis@bbccsd.org,www.bblfd.com,www.bigbear.com,BBF,Paid,"San Bernardino",36042,"Feb 2019"
61,"Big Bend Volunteer Fire Company","David Green , Fire Chief","Box 146 Big Bend CA 96011","Box 146","Big Bend",CA,96011,"(530) 337- 6798",no_fax,,,,,BBV,Volunteer,Shasta,45970,"Feb 2019"
62,"Big Creek Volunteer Fire Dept.","David Wiitala , Fire Chief","55112 Point Road Big Creek CA 93605","55112 Point Road","Big Creek",CA,93605,"(559) 893- 5454",no_fax,,dlwiitala@usa.net,,,BCR,Volunteer,Fresno,10110,"Feb 2019"
63,"Big Pine Fire Protection Dist.","John Marzano , Fire Chief","P.O. Box 382 Big Pine CA 93513","P.O. Box 382","Big Pine",CA,93513,"(760) 938- 2600","(760) 938- 2444",,,,,BGP,Volunteer,Inyo,14005,"Feb 2019"
64,"Big Sur Volunteer Fire Brigade","Frank Pinney , Fire Chief","P.O. Box 520 Big Sur CA 93920","P.O. Box 520","Big Sur",CA,93920,"(831) 667- 2113","(831) 667- 0299",bigsurfire@cs.com,,www.bigsurfire.org,,BSB,Volunteer,Monterey,27900,"Feb 2019"
65,"Big Valley Fire Protection Dist.","Robert Gerig , Fire Chief","P.O. Box 81 Bieber CA 96009","P.O. Box 81",Bieber,CA,96009,"(530) 294- 5720","(530) 294- 5900",,,,,BGV,Volunteer,Lassen,18010,"Feb 2019"
66,"Biggs Fire Dept.","Henri Brachias , Fire Chief","P.O. Box 1119 Biggs CA 95917","P.O. Box 1119",Biggs,CA,95917,"(530) 538- 7111","(530) 538- 7401",,henri.brachias@fire.ca.gov,,,BIG,"Mostly Volunteer",Butte,04005,"Feb 2019"
67,"Bishop Volunteer Fire Dept.","Ray Seguine , Fire Chief","P.O. Box 1236 Bishop CA 93515","P.O. Box 1236",Bishop,CA,93515,"(760) 873- 5485","(760) 872- 9321",,"seguine@ca -bishop.us",,,BSH,"Mostly Volunteer",Inyo,14015,"Feb 2019"
68,"BLM 	- Alturas Field Office","Jerry Wheeler , Fire Management Officer","P.O. Box 1236 Bishop CA 93515","P.O. Box 1236",Bishop,CA,93515,"(760) 873- 5485","(760) 872- 9321",jerry_wheeler@ca.blm.gov,www.ca.blm.gov/alturas,www.ca.blm.gov,"NOD    Personnel:  Paid",BSH,"Mostly Volunteer",Inyo,14015,"Feb 2019"
69,"BLM 	- Arcata 	Field Office","Tim Jones , Fire Management Officer","1695 Heindon Road Arcata CA 95521","1695 Heindon Road",Arcata,CA,95521,"(707) 825- 2306","(707) 825- 2301",ca330@ca.blm.gov,timothy_jones@ca.blm.gov,www.ca.blm.gov/arcata,www.ca.blm.gov,NOD,Paid,Humboldt,12850,"Feb 2019"
70,"BLM 	- Bakersfield Field Office","David Brinsfield , Fire Management Officer","1695 Heindon Road Arcata CA 95521","1695 Heindon Road",Arcata,CA,95521,"(707) 825- 2306","(707) 825- 2301",david_brinsfield@blm.gov,www.ca.blm.gov/bakersfield,www.ca.blm.gov,"BBD   Personnel:  Paid",NOD,Paid,Humboldt,12850,"Feb 2019"
71,"BLM 	- Barstow Field Office","James Aragon , Fire Management Officer","1695 Heindon Road Arcata CA 95521","1695 Heindon Road",Arcata,CA,95521,"(707) 825- 2306","(707) 825- 2301",jaragon@ca.blm.gov,www.ca.blm.gov/barstow,www.ca.blm.gov,"BBD    Personnel: Paid",NOD,Paid,Humboldt,12850,"Feb 2019"
72,"BLM 	- Bishop Field Office","Matthew Kingsley , Fire Management Officer","1695 Heindon Road Arcata CA 95521","1695 Heindon Road",Arcata,CA,95521,"(707) 825- 2306","(707) 825- 2301",mkingsley@ca.blm.gov,www.ca.blm.gov/bishop,www.ca.blm.gov,"OVD   Personnel:  Paid",NOD,Paid,Humboldt,12850,"Feb 2019"
73,"BLM 	- California Desert District Office","Ron Woychak,  Fire Management Officer","1695 Heindon Road Arcata CA 95521","1695 Heindon Road",Arcata,CA,95521,"(707) 825- 2306","(707) 825- 2301",rwoychak@ca.blm.gov,www.ca.blm.gov,,"Personnel: Paid",NOD,Paid,Humboldt,12850,"Feb 2019"
74,"BLM 	- Eagle Lake Field Office","Jerry Wheeless , Fire Management  Officer","1695 Heindon Road Arcata CA 95521","1695 Heindon Road",Arcata,CA,95521,"(707) 825- 2306","(707) 825- 2301",jwheeles@ca.blm.gov,www.ca.blm.gov/eaglelake,www.ca.blm.gov,"NOD    Personnel:  Paid",NOD,Paid,Humboldt,12850,"Feb 2019"
75,"BLM 	- Folsom Field Office","Kenneth Hood, Division Chief","63 Natoma Street Folsom CA 95630","63 Natoma Street",Folsom,CA,95630,"(916) 985- 4474","(916) 985- 3259",ca180@ca.blm.gov,kenneth_hood@ca.blm.gov,www.ca.blm.gov/folsom,www.ca.blm.gov,BBD,Paid,Sacramento,34850,"Feb 2019"
76,"BLM 	- Hollister Field Office","Mario Marquez , Fire Management Officer","63 Natoma Street Folsom CA 95630","63 Natoma Street",Folsom,CA,95630,"(916) 985- 4474","(916) 985- 3259",,www.ca.blm.gov/hollister,,Personnel:,BBD,Paid,Sacramento,34850,"Feb 2019"
77,"BLM 	- Needles Field 	Office","James Aragon , Fire Management Officer","63 Natoma Street Folsom CA 95630","63 Natoma Street",Folsom,CA,95630,"(916) 985- 4474","(916) 985- 3259",James_Aragon@ca.blm.gov,www.ca.blm.gov/needles,www.ca.blm.gov,"CDD   Personnel: Paid",BBD,Paid,Sacramento,34850,"Feb 2019"
