export_created,job_id,high_priority,req_inkjet,export_company_name,name,qty_est,qty,jobtype,export_duedate,export_cur_status,export_coordinator,paid,postage_class,postage_type,postage_amt,postage_affixed,postage_due,total,dist_type,color,bw_color,simp_dup,print_start,print_end,export_Ready_to_Print,mailsize,papertype,paper_color,envelopepaper,envelopetype,permit,fold_type,snap_seal,snap_paper
2017-08-28 14:06:52,45942,,0,Overflowworks,loanDepot 04480-17 -100 D1-B,150000,148616,Letter,2017-08-31 00:00:00,Printing,Sanjeshni Naidu,,Standard,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,2017-08-28 18:47:06,,2017-08-28 17:25:16,8.5x11,#60,White,White,Single Window,2,,,
2017-08-28 14:44:48,45945,,0,KC Worldwide ,ND08302017,8000,7980,Letter,2017-08-30 00:00:00,Approved,Jolanda Jiminez,,Standard,Permit Imprint,1954.99,,,,PMOD,1/0,0,1,,,Not Set,8.5x11,#60,Ivory,Brown Kraft,Single Window,,,,
2017-08-28 19:39:31,45946,,0,"US Educational Financial Solutions, Inc.",USEFS Kit ORder 082817,35,37,Print / Other,2017-08-29 00:00:00,Done,Sanjeshni Naidu,true,,,536.50,,,582.75,,,,,,,Not Set,,,,,,,,,
2017-08-29 06:16:31,45947,,0,Nationwide Marketing Services,BBR082917,5676,5465,Letter,2017-08-29 00:00:00,Delivery / Mailed,Denny Webber,true,First Class Pre-Sort,Permit Imprint,2289.18,,,2664.88,None,1/0,0,1,2017-08-29 09:49:33,2017-08-29 11:36:28,2017-08-29 09:22:16,8.5x11,#20,Pink,White,Single Window,,,,
2017-08-29 08:05:55,45952,,0,TagQuest,MEM_DAILY_MAIL_HM061417BR ,63,63,Letter,2017-08-29 00:00:00,Done,Dorothy Nanai,,Full Rate (Stamp Only),Stamp,,,,,None,1/1,0,2,,,Not Set,8.5x11,#20,White,White,Single Window,,,,
2017-08-29 08:12:27,45954,,0,TagQuest,MMS Daily Mail HM090117MMS,2,2,Letter,2017-08-29 00:00:00,Done,Dorothy Nanai,,Full Rate (Stamp Only),Stamp,,,,,None,1/1,0,2,,,Not Set,8.5x11,#20,White,White,Single Window,,,,
2017-08-29 08:44:17,45955,,0,Low VA Rates (Lehi Branch),Less Than 8 Months Purchase VA 8/30,20400,19308,Snap Pack,2017-08-31 00:00:00,Waiting on Approval,Lindsey Hemphill,,Standard,Permit Imprint,4767.87,,,,PMOD,1/1,0,2,,,Not Set,8.5x11,,,,,,C-Fold,Pressure Seal,
2017-08-29 08:45:49,45957,,0,Low VA Rates (Lehi Branch),Less Than 8 Months Refi VA 2 Seg 8/30,15400,14446,Snap Pack,2017-08-31 00:00:00,Waiting on Approval,Lindsey Hemphill,,Standard,Permit Imprint,3625.56,,,,PMOD,1/1,0,2,,,Not Set,8.5x11,,,,,,C-Fold,Pressure Seal,
2017-08-29 08:57:19,45958,,0,Citracado Market Advisors,CC Debt Pay Important,6963,6940,Letter,2017-08-30 00:00:00,Waiting on Approval,Dorothy Nanai,,Standard,Permit Imprint,1649.63,,,,PMOD,,,,,,Not Set,,,,,,,,,
2017-08-29 09:02:24,45959,,0,Citracado Market Advisors,Encompass Important,10482,10454,Letter,2017-08-31 00:00:00,Waiting on Approval,Dorothy Nanai,,First Class Pre-Sort,Stamp,4197.34,,,,,,,,,,Not Set,,,,,,,,,
2017-08-29 09:12:15,45961,,0,Nationwide Marketing Services,REPBM083117,20819,17469,Post Card,2017-08-31 00:00:00,Waiting on Approval,Denny Webber,,First Class Pre-Sort,Permit Imprint,,,,,None,4/4,1,2,,,Not Set,4 x 6,#67.5 Vellum,White,,,,,,
2017-07-24 21:34:27,45962,,0,Nationwide Marketing Services,EAPP082917,5055,4942,Post Card,2017-08-29 00:00:00,Delivery / Mailed,Denny Webber,true,First Class Pre-Sort,Permit Imprint,1299.84,,,1448.18,None,4/4,1,2,2017-08-29 11:42:10,2017-08-29 12:16:53,2017-08-29 11:14:44,4 x 6,#67.5 Vellum,White,,,,,,
2017-08-29 09:29:27,45963,,0,Citracado Market Advisors,NHCC,3407,3340,Snap Pack,2017-08-31 00:00:00,Waiting on Approval,Dorothy Nanai,,First Class Pre-Sort,Permit Imprint,,,,,,,,,,,Not Set,,,,,,,C-Fold,Converted,
2017-08-29 09:29:55,45964,,0,Overflowworks,SnapFi 04689-17 - Cass Data Only,8000,,Print / Other,2017-08-30 00:00:00,Done,Sanjeshni Naidu,,,,,,,,,,,,,,Not Set,,,,,,,,,
2017-08-29 09:32:51,45965,,0,Nationwide Marketing Services,EAPL082917,5057,4835,Letter,2017-08-29 00:00:00,Delivery / Mailed,Denny Webber,true,Standard,Permit Imprint,1145.38,,,1745.37,PMOD,1/0,0,1,2017-08-29 13:10:00,2017-08-29 14:13:13,2017-08-29 12:34:57,8.5x11,Custom,White,Brown Kraft,Single Window,,,,
2017-08-29 10:05:43,45967,,0,Low VA Rates Corp Office,Low VA Eric Drop 20,37000,36000,Snap Pack,2017-08-30 00:00:00,Printing,Lindsey Hemphill,,Standard,Permit Imprint,8424.25,,,,PMOD,1/1,0,2,2017-08-29 16:49:42,,2017-08-29 15:55:32,8.5x11,,,,,,C-Fold,Pressure Seal,
2017-08-29 10:11:04,45969,,0,Citracado Market Advisors,Prospect,4000,3998,Snap Pack,2017-08-31 00:00:00,Waiting on Approval,Dorothy Nanai,,First Class Pre-Sort,Permit Imprint,,,,,,,,,,,Not Set,,,,,,,Half Fold,Converted,
2017-08-29 11:38:02,45977,,0,Snap Pack Mail,BCP - VA Snaps - PMOD - 15K - Drop 7,15000,14322,Snap Pack,2017-08-30 00:00:00,Waiting on Approval,Dorothy Nanai,,Standard,Permit Imprint,3537.38,,,,PMOD,,,,,,Not Set,,,,,,,Z-Fold,Pressure Seal,
2017-08-29 11:57:59,45978,,0,Snap Pack Mail,BCP - VA Snaps - PMOD - 15K - Drop 8,15000,14597,Snap Pack,2017-08-30 00:00:00,Pre-Print,Dorothy Nanai,,Standard,Permit Imprint,3480.96,,,,PMOD,,,,,,Not Set,,,,,,,Z-Fold,Pressure Seal,
2017-08-29 12:08:12,45982,,0,Overflowworks,Service 1st Mortgage 04708-17,2890,2891,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/0,0,1,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 12:25:47,45983,,0,Snap Pack Mail,Imperial Print - Billing Failure Snaps - 911 - Drop 83,911,814,Snap Pack,2017-08-29 00:00:00,Delivery / Mailed,Dorothy Nanai,true,First Class Pre-Sort,Permit Imprint,341.50,,,391.50,,1/1,0,2,2017-08-29 15:27:00,2017-08-29 15:43:40,2017-08-29 15:11:27,8.5x11,,,,,,Half Fold,Converted,Custom
2017-08-29 12:42:02,45985,,0,"Advance Marketing Mail, Inc.",13672 PCF - VA 8_31_17 ,61614,61614,Snap Pack,2017-08-31 00:00:00,Printing,Lindsey Hemphill,,Standard,Permit Imprint,,,,,PMOD,1/1,0,2,2017-08-29 16:10:06,,2017-08-29 14:08:03,8.5x11,,,,,1908,C-Fold,Converted,White 70# Converted
2017-08-29 12:52:15,45986,,0,Overflowworks,Intercap Lending 04691-17  D1,6172,5669,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 12:56:10,45987,,0,Overflowworks,Intercap Lending 04691-17  D2,1328,1233,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 13:00:57,45988,,0,Overflowworks,Intercap Lending 04692-17  D1,12087,11311,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 13:01:05,45989,,0,Nationwide Marketing Services,MDAS083117,675,675,Post Card,2017-08-31 00:00:00,Pre-Print,Denny Webber,,Standard,Permit Imprint,184.41,,,,,,,,,,Not Set,6 x 9,,,,,,,,
2017-08-29 13:07:24,45991,,0,"Advance Marketing Mail, Inc.",13673 13672 PCF - VA 8_31_17 WA ,59741,59741,Snap Pack,2017-08-31 00:00:00,Ready to Print,Lindsey Hemphill,,Standard,Permit Imprint,,,,,PMOD,1/1,0,2,,,2017-08-29 15:36:33,8.5x11,,,,,1908,C-Fold,Converted,White 70# Converted
2017-08-29 13:07:30,45992,,0,Overflowworks,Intercap Lending 04692-17  D2,1913,1814,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 13:12:39,45993,,0,Overflowworks,Intercap Lending 04694-17  D1,3495,3382,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 13:14:48,45994,,0,Overflowworks,Intercap Lending 04694-17  D2,505,490,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 13:18:11,45995,,0,Overflowworks,Intercap Lending 04695-17  D1,13743,13607,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 13:24:18,45997,,0,Overflowworks,Intercap Lending 04697-17  D1,8544,8448,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 13:30:09,45999,,0,Overflowworks,Intercap Lending 04698-17  D1,6373,6373,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 13:31:06,46000,,0,Overflowworks,Intercap -04693-17,2500,2104,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 13:32:21,46001,,0,Overflowworks,Intercap Lending 04698-17  D2,1127,1129,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 13:34:39,46002,,0,Overflowworks,Intercap - 04696-17,10000,9996,Letter,2017-08-31 00:00:00,Waiting on Approval,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 13:36:24,46003,,0,Overflowworks,Intercap Lending 04699-17  D1,"21,269",21264,Letter,2017-08-31 00:00:00,Proof Ready,Sanjeshni Naidu,,First Class Pre-Sort,Permit Imprint,,,,,Pitney Bowes,1/1,0,2,,,Not Set,8.5x11,#60,White,White,Single Window,,,,
2017-08-29 14:06:34,46008,,0,"Advance Marketing Mail, Inc.",13674- 13672 PCF - VA 8_31_17 W,58961,58961,Snap Pack,2017-08-31 00:00:00,Ready to Print,Lindsey Hemphill,,Standard,Permit Imprint,,,,,PMOD,1/1,0,2,,,2017-08-29 15:21:19,8.5x11,,,,,1908,C-Fold,Converted,White 70# Converted
2017-08-29 15:25:42,46011,,0,Citracado Market Advisors,Sienna,5000,4903,Snap Pack,2017-08-31 00:00:00,Waiting on Approval,Dorothy Nanai,,First Class Pre-Sort,Permit Imprint,,,,,,,,,,,Not Set,,,,,,,Half Fold,Converted,
