j,TOLLFREE,Company,Title,First Name,Last Name,Address,City,State,Zip,Z4,Carrier Route,Phone Number,Primary SIC Code,County,Number of Employees,Sales Volume,Fax,Website Available,Primary SIC Code Description
j,855-475-3060,CRISTO VIENE,RELIGIOUS LEADER,DANIEL,CERVANTES,1007 W TAYLOR ST,PHOENIX,AZ,85007,2522,C028,6022622157,866107,MARICOPA,5 to 9,Unknown,,CRISTOVIENE.NET,Churches
j,855-475-3060,AVANT-GARDE WILLIAM & CO,OWNER,WILLIAM,MC ARDLE,2445 N 32ND ST,PHOENIX,AZ,85008,2169,C002,6022521685,599201,MARICOPA,5 to 9,Less than $500000,6022521686,,Florists-Retail
j,855-475-3060,DSI NORTHEAST PHOENIX,MANAGER,LARI,VEGA,3305 E GREENWAY RD STE 1,PHOENIX,AZ,85032,4509,C023,6027653919,809203,MARICOPA,5 to 9,$1 to 2.5 million,6027659017,DSI-CORP.COM,Dialysis
j,855-475-3060,BAGEL NOSH,,,,4855 E WARNER RD STE 12,PHOENIX,AZ,85044,3309,C051,4809404484,546101,MARICOPA,5 to 9,Less than $500000,4809404484,BAGELNOSH.NET,Bagels
j,855-475-3060,PHOENIX GYNECOLOGY CONSLNT LLC,,,,1010 E MCDOWELL RD,PHOENIX,AZ,85006,2606,C021,6023748215,801101,MARICOPA,5 to 9,$1 to 2.5 million,,,Physicians & Surgeons
j,855-475-3060,SHEAR VANITY HAIR & NAILS,OWNER,SCOOTER,BIERS,3328 W BELL RD,PHOENIX,AZ,85053,2925,C076,6024392690,723106,MARICOPA,10 to 19,Less than $500000,,SHEARVANITYHAIRANDNAILS.COM,Beauty Salons
j,855-475-3060,DRAGON BOWL,OWNER,YUEP,YEE,814 E UNION HLS DR STE 14C,PHOENIX,AZ,85024,8402,C027,6238697668,581208,MARICOPA,5 to 9,Less than $500000,,DRAGONBOWLAZ.COM,Restaurants
j,855-475-3060,LEGAL PROTECTION PLANS,,,,645 N 4TH AVE,PHOENIX,AZ,85003,1595,C019,4807254104,811113,MARICOPA,5 to 9,$500000 to $1 million,,,Legal Service Plans
j,855-475-3060,ARIZONA ELECTRIC SUPPLY CO,MANAGER,DAVID,FREEMAN,2800 W OSBORN RD,PHOENIX,AZ,85017,5029,C019,6022585411,369902,MARICOPA,10 to 19,$2.5 to 5 million,6022548361,,Electric Equipment-Manufacturers
j,855-475-3060,ANTHEM SENIOR LIVING LIC,,,,40401 N COPPER BASIN TRL,PHOENIX,AZ,85086,1837,R069,6029099550,808201,MARICOPA,10 to 19,$500000 to $1 million,,ANTHEMSENIORLIVING.COM,Home Health Service
j,855-475-3060,CLASSIC IMAGE,OWNER,SCOTT,BRYAN,6805 W ABRAHAM LN,PHOENIX,AZ,85032,,,6028678972,754203,MARICOPA,5 to 9,Less than $500000,,CLASSICIMAGEINC.COM,Automobile Detail & Clean-Up Service
j,855-475-3060,PRIME CONSTRUCTION CO,,,,5601 W MOHAVE ST STE B,PHOENIX,AZ,85043,9603,R006,6235725550,152103,MARICOPA,5 to 9,$2.5 to 5 million,,,General Contractors
j,855-475-3060,GULF DUPLICATION & FULFILLMENT,,,,4539 N 22ND ST,PHOENIX,AZ,85016,4639,C016,6022835865,473104,MARICOPA,5 to 9,$1 to 2.5 million,,,Freight-Forwarding
j,855-475-3060,PALAZZO TOWNHOMES,MANAGER,LORRAINE,DOYLE,886 N COFCO CENTER CT,PHOENIX,AZ,85008,6426,C033,6022731818,651303,MARICOPA,5 to 9,$1 to 2.5 million,6022731919,MARK-TAYLOR.COM,Apartments
j,855-475-3060,FISH CONSTRUCTION,OWNER,GREG,FISH,1531 W PALMER DR,PHOENIX,AZ,85021,2164,C060,6028614984,152103,MARICOPA,5 to 9,$2.5 to 5 million,,,General Contractors
j,855-475-3060,AUTO-LAB COMPLETE CAR CARE CTR,SITE MANAGER,KEITH,DIXON,3401 W GREENWAY RD,PHOENIX,AZ,85053,3807,C077,6029931553,753801,MARICOPA,5 to 9,$500000 to $1 million,,,Automobile Repairing & Service
j,855-475-3060,EOE JOURNAL,PRESIDENT,MARY,PETTY,1550 E MISSOURI AVE STE 204,PHOENIX,AZ,85014,2456,C066,6026049130,736103,MARICOPA,10 to 19,$500000 to $1 million,6026049121,EOEJOURNAL.COM,Employment Agencies & Opportunities
j,855-475-3060,ENGELMAN HEALTH INSTITUTE PLC,,,,4400 N 32ND ST,PHOENIX,AZ,85018,3953,C022,6024663226,809907,MARICOPA,5 to 9,$500000 to $1 million,,,Health Services
j,855-475-3060,GOOD EGG,,,,3780 W HAPPY VALLEY RD,PHOENIX,AZ,85085,,,6235167727,581208,MARICOPA,5 to 9,Less than $500000,,,Restaurants
j,855-475-3060,WINDOW FASHION INTERIOR IND,OWNER,GREGG,HOPKINS,3108 W THOMAS RD,PHOENIX,AZ,85017,5306,C048,6029548175,239198,MARICOPA,10 to 19,$500000 to $1 million,6029572910,,Curtain & Drapery-Manufacturers
j,855-475-3060,2 BROTHERS KITCHEN,,,,3655 W ANTHEM WAY,PHOENIX,AZ,85086,430,R058,6235512276,581208,MARICOPA,5 to 9,Less than $500000,,,Restaurants
j,855-475-3060,MARYVALE DENTAL CARE DENTIST,,,,7614 W INDIAN SCHOOL RD,PHOENIX,AZ,85033,3035,C089,6238490053,802101,MARICOPA,5 to 9,$500000 to $1 million,,,Dentists
j,855-475-3060,DIAMOND PLATE BAR & GRILL,OWNER,ROBERT,PAZSCUZZO,1820 S 7TH ST,PHOENIX,AZ,85034,5120,C013,6022522248,581208,MARICOPA,5 to 9,Less than $500000,,,Restaurants
j,855-475-3060,PINEWOOD VILLAGE,MANAGER,LONA,CROSCA,4802 N 15TH AVE,PHOENIX,AZ,85015,607,C050,6022638805,651303,MARICOPA,5 to 9,$1 to 2.5 million,,PINEWOODVILLAGE.NET,Apartments
j,855-475-3060,TAYLOR TOURS,PRESIDENT,CHERYL,POLYARD,4210 W OPPORTUNITY WAY,PHOENIX,AZ,85086,1475,R063,6234450111,472501,MARICOPA,5 to 9,$1 to 2.5 million,6234450333,TAYLORTOURS.COM,Tours-Operators & Promoters
j,855-475-3060,ROTH DENTAL,,,,10855 N TATUM BLVD STE 170,PHOENIX,AZ,85028,6079,C039,4809482273,802101,MARICOPA,5 to 9,$500000 to $1 million,,ROTHDENTAL.COM,Dentists
j,855-475-3060,CHARITY CHARMS LLC,,,,5232 N 43RD PL,PHOENIX,AZ,85018,1636,C048,6029522575,581208,MARICOPA,10 to 19,$500000 to $1 million,,,Restaurants
j,855-475-3060,INSPIRED KIDS MONTESORI PRSCHL,DIRECTOR,DIANA,DARMAWASKITA,4025 E CHANDLER BLVD STE 11,PHOENIX,AZ,85048,8830,C007,4806599402,835102,MARICOPA,5 to 9,Less than $500000,,,Schools-Nursery & Kindergarten Academic
j,855-475-3060,FREEWAY METAL,OWNER,REA,SUE,1810 S 19TH AVE,PHOENIX,AZ,85009,6546,C006,6022544994,422503,MARICOPA,5 to 9,Less than $500000,,FREEWAYMETALS.COM,Storage-Household & Commercial
j,855-475-3060,MARISOL FEDERAL CREDIT UNION,,,,2601 E ROOSEVELT ST,PHOENIX,AZ,85008,4973,C044,6025167074,606101,MARICOPA,5 to 9,$1 to 2.5 million,,,Credit Unions
j,855-475-3060,FUSILLIS,,,,107 N CENTRAL AVE,PHOENIX,AZ,85004,,C021,4806956487,581208,MARICOPA,10 to 19,$500000 to $1 million,,,Restaurants
j,855-475-3060,LOCAL HOME HEALTHCARE,,,,4340 W MCDOWELL RD STE 5,PHOENIX,AZ,85035,4225,C061,6022724502,808201,MARICOPA,5 to 9,$500000 to $1 million,,,Home Health Service
j,855-475-3060,COMMITTEE TO ELECT ERICKA,,,,1928 E HIGHLAND AVE # 104,PHOENIX,AZ,85016,4626,C016,6027302598,865101,MARICOPA,5 to 9,Unknown,,WWW.ERICKANICHOLES.COM,Political Organizations
j,855-475-3060,ALPHA ENGINEERING,VICE PRESIDENT,STEVE,GANGWAL,4645 N 12TH ST STE 200,PHOENIX,AZ,85014,4069,C015,6022667200,871110,MARICOPA,10 to 19,$2.5 to 5 million,,ALPHA-ENGINEERING.COM,Engineers-Civil
j,855-475-3060,A & T NAILS,OWNER,LYNH,LE,7333 W THOMAS RD STE 6,PHOENIX,AZ,85033,5547,C068,6232453117,723102,MARICOPA,5 to 9,Less than $500000,,,Manicuring
j,855-475-3060,E Z GARAGE DOORS & OPENERS,MANAGER,GEORGE,GUITERREZ,6803 S O ST,PHOENIX,AZ,85040,,,4808946869,521101,MARICOPA,5 to 9,$1 to 2.5 million,,,Doors-Garage
j,855-475-3060,TELECOM NATIONAL,,,,4041 N CENTRAL AVE,PHOENIX,AZ,85012,3330,C010,6027735395,481302,MARICOPA,5 to 9,$2.5 to 5 million,,,Telecommunications Services
j,855-475-3060,MARIA JONES LAW FIRM,PRINCIPAL,JACQUELINE,FAIRE,202 E EARLL DR STE 440,PHOENIX,AZ,85012,2649,C049,6026361200,811103,MARICOPA,5 to 9,$500000 to $1 million,,MARIAJONESLAWFIRM.COM,Attorneys
j,855-475-3060,JAN ASHFORD PLUMBING INC,OWNER,JAY,GRAVATT,3725 N 35TH PL,PHOENIX,AZ,85018,5725,C008,6022736151,171105,MARICOPA,5 to 9,$1 to 2.5 million,6022543445,,Plumbing Contractors
j,855-475-3060,ZAZU LANNEE PARK CONDOMINIUMS,MANAGER,THOMAS,KEENAN,1502 E OSBORN RD,PHOENIX,AZ,85014,5311,C054,6022416606,651303,MARICOPA,5 to 9,$1 to 2.5 million,,,Apartments
j,855-475-3060,WAAMO MEDICAL TRNSPRTN LLC,OWNER,TAMIMA,ALI,4040 E MCDOWELL RD STE 405,PHOENIX,AZ,85008,4448,C055,6022753356,473101,MARICOPA,5 to 9,$500000 to $1 million,,WAAMOMEDTRANS.COM,Transportation Consultants
j,855-475-3060,BEST CONTRACT PRINTING,,,,2810 S 24TH ST,PHOENIX,AZ,85034,6890,C002,6022750922,731101,MARICOPA,10 to 19,$1 to 2.5 million,,,Advertising-Agencies & Counselors
j,855-475-3060,HARMONY IN PHOENIX,,,,1522 W ENCANTO BLVD,PHOENIX,AZ,85007,1203,C013,6022531939,596104,MARICOPA,5 to 9,$2.5 to 5 million,,HARMONYPHX.ORG,E-Commerce
j,855-475-3060,RE/MAX NEW HEIGHTS,MANAGER,VICTOR,VIDALES III,4425 E AGAVE RD,PHOENIX,AZ,85044,619,C033,4803983030,653118,MARICOPA,10 to 19,$1 to 2.5 million,4803983232,REMAX.COM,Real Estate
j,855-475-3060,URBAN LEAGUE,PRESIDENT,GEORGE,DEAN,1402 S 7TH AVE,PHOENIX,AZ,85007,3902,C008,6022545611,832218,MARICOPA,10 to 19,Unknown,6022537359,GPHXUL.ORG,Social Service & Welfare Organizations
j,855-475-3060,SUPREME MARKETING STRATEGIES,,,,2845 E CAMELBACK RD STE 703,PHOENIX,AZ,85016,4359,C020,6023964335,874213,MARICOPA,5 to 9,$500000 to $1 million,,,Marketing Programs & Services
j,855-475-3060,SOUTHWEST BENEFITS GROUP,,,,1555 E GLENDALE AVE,PHOENIX,AZ,85020,5400,C010,6029921415,641112,MARICOPA,5 to 9,$500000 to $1 million,,SOUTHWESTBENEFITS.COM,Insurance
j,855-475-3060,COLLEGEVILLE-IMAGINEERING ENT,,,,4215 W LOWER BUCKEYE RD,PHOENIX,AZ,85009,6002,C007,6022693592,822101,MARICOPA,5 to 9,Unknown,,,Schools-Universities & Colleges Academic
j,855-475-3060,AZ SUNRAYS DANCE,,,,13832 N 32ND ST # 162,PHOENIX,AZ,85032,5646,C075,6029925792,791101,MARICOPA,5 to 9,Less than $500000,,,Dancing Instruction
j,855-475-3060,SCREWIE LEWIE'S MOTORSPORTS,OWNER,JAY,PILLES,2031 W DEER VALLEY RD,PHOENIX,AZ,85027,2016,C064,6238690077,769967,MARICOPA,10 to 19,$1 to 2.5 million,,SCREWIELEWIES.COM,Motorcycles & Motor Scooters-Rpr & Svc
j,855-475-3060,CLEAR BLUE SVC LLC,,,,2942 N 24TH ST STE 114,PHOENIX,AZ,85016,7849,C001,6024269500,999966,MARICOPA,10 to 19,Unknown,6024269501,CLEARBLUESERVICES.COM,Federal Government Contractors
j,855-475-3060,SECURITY PLUS INC,OWNER,STEVE,MARCOU,3612 N 16TH ST,PHOENIX,AZ,85016,6422,C030,6022343883,507216,MARICOPA,5 to 9,$10 to 20 million,6022343882,,Locks & Locksmiths-Wholesale
j,855-475-3060,KELLY'S RELOAD INC,OWNER,KELLY,CHEATHAM,1102 W BUCHANAN ST,PHOENIX,AZ,85007,3431,C019,6022538660,411914,MARICOPA,5 to 9,Less than $500000,6022538769,KELLYSRELOAD.COM,Transportation Services
j,855-475-3060,RAS BUILDERS INC,,,,4824 S 40TH ST,PHOENIX,AZ,85040,2940,C004,6025672400,152103,MARICOPA,5 to 9,$2.5 to 5 million,,,General Contractors
j,855-475-3060,SUPER STAR CAR WASH-CHEVRON GS,OWNER,REZA,AMIRREZVANI,1905 W BASELINE RD,PHOENIX,AZ,85041,6506,C025,6022769535,554101,MARICOPA,5 to 9,$5 to 10 million,,WWW.CHEVRONWITHTECHRON.COM,Service Stations-Gasoline & Oil
j,855-475-3060,ARIZONA RUBBISH DISPOSAL LLC,OWNER,GARY,MURRAY,18647 N 13TH DR,PHOENIX,AZ,85027,5401,C071,6024128396,495326,MARICOPA,5 to 9,$1 to 2.5 million,,,Junk Removal
j,855-475-3060,PASEO VERDE APARTMENTS,,,,4444 N 7TH AVE,PHOENIX,AZ,85013,2954,C013,6022778170,651303,MARICOPA,5 to 9,$1 to 2.5 million,6022300711,,Apartments
j,855-475-3060,ARACRUZ INTERNATIONAL GRANITE,MANAGER,AMBER,NEILSON,2310 W SHERMAN ST,PHOENIX,AZ,85009,5813,C002,6022521171,503204,MARICOPA,10 to 19,$10 to 20 million,,ARACRUZGRANITE.COM,Granite (Whls)
j,855-475-3060,CENTRAL AUTO SALES,,,,2505 W VAN BUREN ST,PHOENIX,AZ,85009,4407,C035,6022330637,551102,MARICOPA,5 to 9,$5 to 10 million,,CENTRALAUTOSALESAZ.COM,Automobile Dealers-New Cars
j,855-475-3060,ALPHA PHOENIX INDUSTRIES LLC,,,,4502 E UNIVERSITY DR,PHOENIX,AZ,85034,7406,C010,4809076224,399903,MARICOPA,10 to 19,$1 to 2.5 million,,,Manufacturers
j,855-475-3060,PLANET SYSTEM NETWORK,,,,4700 N CENTRAL AVE STE 107,PHOENIX,AZ,85012,1720,C051,6026642177,737415,MARICOPA,10 to 19,$1 to 2.5 million,,PSN.NET,Internet Service
j,855-475-3060,AHWATUKEE MONTHLY INC,,,,3930 E RAY RD STE 150,PHOENIX,AZ,85044,7174,C026,4806822050,272102,MARICOPA,10 to 19,$2.5 to 5 million,,,Publishers-Periodical (Mfrs)
j,855-475-3060,SUN TEK,SITE MANAGER,BRAD,HOLT,1725 W WILLIAMS DR,PHOENIX,AZ,85027,1332,C024,6235167400,753601,MARICOPA,10 to 19,$1 to 2.5 million,,SUNTEKFILMS.COM,Glass Coating & Tinting
j,855-475-3060,SYPRIS TEST & MEASUREMENT,MANAGER,JACK,BRANCH,2320 W PEORIA AVE STE D133,PHOENIX,AZ,85029,4778,C008,6029978378,873422,MARICOPA,5 to 9,Unknown,,,Calibration Services
j,855-475-3060,PESHKIN & KOTALIK,PARTNER,LAWRENCE,PESHKIN,3030 N CENTRAL AVE STE 1106,PHOENIX,AZ,85012,2718,C026,6022487770,811103,MARICOPA,5 to 9,$500000 to $1 million,,PKLAWYERS.COM,Attorneys
j,855-475-3060,ROLL OFF SVC LLC,OWNER,TED,ROCKWELL,2600 S 20TH AVE,PHOENIX,AZ,85009,6921,C050,6027160337,495302,MARICOPA,5 to 9,$1 to 2.5 million,,,Garbage Collection
j,855-475-3060,RGL ENTERPRISES,OWNER,BOB,LOEB,3720 E MOUNTAIN VIEW RD,PHOENIX,AZ,85028,4028,C031,6029960800,507509,MARICOPA,5 to 9,$10 to 20 million,6029966005,RGLEQ.COM,Furnaces-Parts & Supplies (Whls)
j,855-475-3060,DIGNIFIED PRODUCTS LLC,OWNER,DAVID,AITCHISON,16001 N 41ST PL,PHOENIX,AZ,85032,4111,C100,4803150103,539901,MARICOPA,5 to 9,$1 to 2.5 million,,DIGNIFIEDMOTORS.COM,General Merchandise-Retail
j,855-475-3060,STUDENT RESOURCE USA,,,,10008 S 51ST ST STE 100,PHOENIX,AZ,85044,5223,C001,4803064274,835101,MARICOPA,5 to 9,Less than $500000,,,Child Care Service
j,855-475-3060,A A AMERICAN DEVELOPMENT,OWNER,KEN,VERMA,3001 W INDIAN SCHOOL RD STE 140,PHOENIX,AZ,85017,4142,C055,6022660330,653102,MARICOPA,5 to 9,$500000 to $1 million,6022668377,VERMALAND.COM,Office & Desk Space-Rental
j,855-475-3060,UNION INSTITUTIONAL BAPTIST,,,,2760 E MOBILE LN,PHOENIX,AZ,85040,2738,C087,6022766871,866107,MARICOPA,5 to 9,Unknown,,,Churches
j,855-475-3060,ONE WAY ELECTRIC,OWNER,KEVIN,POZO,1625 W PARSONS RD,PHOENIX,AZ,85085,630,H001,6235829420,173101,MARICOPA,10 to 19,$1 to 2.5 million,6235820976,ONEWAYELECTRIC.COM,Electric Contractors
j,855-475-3060,GIRLS WAREHOUSE,,,,6028 S CENTRAL AVE,PHOENIX,AZ,85042,4235,C061,6022689207,422505,MARICOPA,5 to 9,Less than $500000,,,Warehouses-Merchandise & Self Storage
j,855-475-3060,LATEST RAGE,,,,4801 N 19TH AVE STE 7,PHOENIX,AZ,85015,7423,C050,6022639661,729963,MARICOPA,5 to 9,Less than $500000,,,Massage
j,855-475-3060,HIPPOPOTAMUS WAKE ENHANCING,,,,1853 N 40TH ST,PHOENIX,AZ,85008,4002,C059,6027951550,555104,MARICOPA,5 to 9,$2.5 to 5 million,6027951551,,Boat Dealers Sales & Service
j,855-475-3060,M KARAWI D D S PC & ASSOC,,,,3326 N 3RD AVE # 202,PHOENIX,AZ,85013,4336,C061,6022742351,802101,MARICOPA,5 to 9,$500000 to $1 million,,,Dentists
j,855-475-3060,LOOKOUT MOUNTAIN VET CLINIC,OWNER,JEFF,COOK,15440 N 7TH ST STE 14,PHOENIX,AZ,85022,3535,C017,6029931660,74201,MARICOPA,10 to 19,$1 to 2.5 million,6027897702,LOOKOUTMOUNTAINVET.COM,Veterinarians
j,855-475-3060,WHITE FEATHER LANDSCAPING,PRESIDENT,DANA,YINGLING,28414 N 68TH ST,PHOENIX,AZ,85050,,,4805139267,78204,MARICOPA,5 to 9,$500000 to $1 million,,,Landscape Contractors
j,855-475-3060,WOMAN TO WOMAN TOTAL CARE,OFFICE MANAGER,CHERYL,GRIMM,9225 N 3RD ST STE 103,PHOENIX,AZ,85020,2455,C007,6022647630,801101,MARICOPA,10 to 19,$1 to 2.5 million,,,Physicians & Surgeons
j,855-475-3060,SCHADE DISTRIBUTING,OWNER,THOMAS,SCHADE,5925 W VAN BUREN ST,PHOENIX,AZ,85043,3516,R003,6024629015,514304,MARICOPA,10 to 19,$20 to 50 million,6024625536,,Ice Cream & Frozen Desserts-Distr (Whls)
j,855-475-3060,FAIRFIELD INN,OWNER,KJ,CHAH,1241 N 53RD AVE,PHOENIX,AZ,85043,1744,R007,6022691919,701101,MARICOPA,5 to 9,$500000 to $1 million,,,Hotels & Motels
j,855-475-3060,LLM INVESTMENTS,,,,7595 E MCDONALD DR,SCOTTSDALE,AZ,85250,6004,C031,4804247697,653118,MARICOPA,5 to 9,$500000 to $1 million,,,Real Estate
j,855-475-3060,BRAT HAUS,,,,3622 N SCOTTSDALE RD,SCOTTSDALE,AZ,85251,5612,C030,4809473263,581208,MARICOPA,5 to 9,Less than $500000,,,Restaurants
j,855-475-3060,PESTO PRIMA CAFE & COFFEE,,,,8015 E ROOSEVELT ST,SCOTTSDALE,AZ,85257,3817,C029,4809943500,581208,MARICOPA,5 to 9,Less than $500000,,,Restaurants
j,855-475-3060,DESERT LIGHTING ASSOC,MANAGER,JOHN,FLYNN,16055 N DIAL BLVD STE 15,SCOTTSDALE,AZ,85260,1642,C041,4806567091,571926,MARICOPA,5 to 9,$1 to 2.5 million,,DESERTLIGHTINGASSOCIATES.COM,Lighting Fixtures-Retail
j,855-475-3060,LEADER STAT,,,,8149 E EVANS RD,SCOTTSDALE,AZ,85260,3647,C034,4809910218,832259,MARICOPA,5 to 9,Unknown,,LEADERSTAT.COM,Health Care Instruction
j,855-475-3060,RESORT SOLUTIONS,,,,16427 N SCOTTSDALE RD STE 145,SCOTTSDALE,AZ,85254,8198,C087,4806093772,701111,MARICOPA,5 to 9,$500000 to $1 million,,,Resorts
j,855-475-3060,SPECTRUM MARKETING ASSOC INC,PRESIDENT,CAROL,DICKINSON,8687 E VIA DE VENTURA STE 305,SCOTTSDALE,AZ,85258,3349,C024,4809488700,506335,MARICOPA,5 to 9,$10 to 20 million,4809487066,SPECMKTING.COM,Electronic-Mfrs Representatives (Whls)
j,855-475-3060,MAID TO PERFECTION,MANAGER,MARY,MURRAY,8040 E MORGAN TRL STE 9,SCOTTSDALE,AZ,85258,1233,C015,4809907199,734922,MARICOPA,10 to 19,$500000 to $1 million,,MTPMAID.COM,House Cleaning
j,855-475-3060,CABINETRY BY TELKEN,OWNER,KEN,LYBECK,14325 N 79TH ST STE C,SCOTTSDALE,AZ,85260,6922,C067,4809519669,571236,MARICOPA,5 to 9,$1 to 2.5 million,,,Cabinets
j,855-475-3060,ARIZONA BREAST CANCER SPEC,,,,9055 E DEL CAMINO DR,SCOTTSDALE,AZ,85258,2351,C036,4809224600,801104,MARICOPA,5 to 9,$1 to 2.5 million,,ARIZONA-BREAST-CANCER-SPECIALISTS.COM,Clinics
j,855-475-3060,BILTMORE BANK OF ARIZONA,PRESIDENT,RICH,ENDICOTT,14850 N SCOTTSDALE RD STE 100,SCOTTSDALE,AZ,85254,2799,C069,4809517705,602101,MARICOPA,5 to 9,Unknown,,BILTMOREBANKAZ.COM,Banks
j,855-475-3060,SCOTTSDALE INTERNATIONAL ARPSC,PRESIDENT,JOHN,MC GRADY,15955 N DIAL BLVD STE 5,SCOTTSDALE,AZ,85260,1636,C041,4809981511,381201,MARICOPA,5 to 9,$1 to 2.5 million,,,Aerospace Industries (Mfrs)
j,855-475-3060,COFFEE SOLUTIONS,,,,31622 N 144TH ST,SCOTTSDALE,AZ,85262,5835,R071,6023088530,581228,MARICOPA,5 to 9,Less than $500000,,COFFEESOLUTIONSCOMPANY.COM,Coffee Shops
j,855-475-3060,SHERRES CLOTHING,OWNER,SHERRE,LUCAS,32421 N SCOTTSDALE RD STE 113,SCOTTSDALE,AZ,85266,1518,R101,4805958771,562101,MARICOPA,5 to 9,$500000 to $1 million,,SHOPSHERRES.COM,Women's Apparel-Retail
j,855-475-3060,ENVISION LLC,MANAGER,BARB,PORTER,8655 E VIA DE VENTURA STE G200,SCOTTSDALE,AZ,85258,3321,C024,6027708135,737103,MARICOPA,10 to 19,$1 to 2.5 million,4803461010,ENVISION.COM,Computers-System Designers & Consultants
