first,last,address,city,st,zip,paddress,pcity,pstate,pzip
2014 3 IH BORROWER LIMITED PARTNERSHIP,,901 Main St Ste 4700,Dallas,TX,75202-3774,8102 PAVIA WAY,SACRAMENTO,CA,95823
2015 1 IH2 BORROWER,,1717 Main St Ste 2000,Dallas,TX,75201-4657,2201 51ST AVE,SACRAMENTO,CA,95822
2015 1 IH2 BORROWER,,1717 Main St Ste 2000,Dallas,TX,75201-4657,4321 26TH AVE,SACRAMENTO,CA,95820
2015 1 IH2 BORROWER,,1717 Main St Ste 2000,Dallas,TX,75201-4657,4454 79TH ST,SACRAMENTO,CA,95820
2015 1 IH2 BORROWER,,1717 Main St Ste 2000,Dallas,TX,75201-4657,6040 SPRINGHAVEN CIR,SACRAMENTO,CA,95842
2015 1 IH2 BORROWER,,1717 Main St Ste 2000,Dallas,TX,75201-4657,6112 JACK LONDON CIR,SACRAMENTO,CA,95842
2015 1 IH2 BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,4801 AMBLEBROOK WAY,SACRAMENTO,CA,95823
2015 1 IH2 BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,7016 URANUS PKWY,SACRAMENTO,CA,95823
2015 1 IH2 BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,7827 CHARMETTE WAY,SACRAMENTO,CA,95823
2015 1 IH2 BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,7831 WHITE TAIL WAY,SACRAMENTO,CA,95823
2015 2 IH2 BORROWER,,1717 Main St Ste 2000,Dallas,TX,75201-4657,3609 REEL CIR,SACRAMENTO,CA,95832
2015 2 IH2 BORROWER,,1717 Main St Ste 2000,Dallas,TX,75201-4657,4233 GLASCOW DR,NORTH HIGHLANDS,CA,95660
2015 2 IH2 BORROWER,,1717 Main St Ste 2000,Dallas,TX,75201-4657,7311 SPRINGMAN ST,SACRAMENTO,CA,95822
2015 2 IH2 BORROWER,,1717 Main St Ste 2000,Dallas,TX,75201-4657,7500 BALFOUR WAY,SACRAMENTO,CA,95822
2015 2 IH2 BORROWER,,1717 Main St Ste 2000,Dallas,TX,75201-4657,7548 LEMARSH WAY,SACRAMENTO,CA,95822
2015 2 IH2 BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,4553 GOYA PKWY,SACRAMENTO,CA,95823
2015 2 IH2 BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,5 DEMPSTER CT,SACRAMENTO,CA,95823
2015 2 IH2 BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,5385 BAMFORD DR,SACRAMENTO,CA,95823
2015 2 IH2 BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,6124 POMEGRANATE AVE,SACRAMENTO,CA,95823
2015 2 IH2 BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,8020 MAYBELLINE WAY,SACRAMENTO,CA,95823
3729 BALSAM STREET LLC,,597 Rough and Ready Rd,San Jose,CA,95133-2007,4936 MORNINGSTAR DR,SACRAMENTO,CA,95824
3729 BALSAM STREET LLC,,597 Rough and Ready Rd,San Jose,CA,95133-2007,6636 RODOLFO CT,SACRAMENTO,CA,95823
A,MARK,2425 Bianca Ct,Rancho Cordova,CA,95670-3808,2528 MORETTI WAY,SACRAMENTO,CA,95821
A,MARK,2425 Bianca Ct,Rancho Cordova,CA,95670-3808,2920 TRENTWOOD WAY,SACRAMENTO,CA,95822
A,ROSEMARY,1027 Fallon Woods Way,Rio Linda,CA,95673-2431,223 PINEDALE AVE,SACRAMENTO,CA,95838
A,ROSEMARY,1027 Fallon Woods Way,Rio Linda,CA,95673-2431,225 PINEDALE AVE,SACRAMENTO,CA,95838
A,JEFFREY,3348 Norris Ave,Sacramento,CA,95821-4043,2672 BALL WAY,SACRAMENTO,CA,95821
A,JEFFREY,3348 Norris Ave,Sacramento,CA,95821-4043,3642 NATURITA WAY,SACRAMENTO,CA,95834
A,VIRGINIA,2521 Exeter Square Ln,Sacramento,CA,95825-6477,3133 WEMBERLEY DR,SACRAMENTO,CA,95864
A,VIRGINIA,2521 Exeter Square Ln,Sacramento,CA,95825-6477,3305 WEMBERLEY DR,SACRAMENTO,CA,95864
A,VIRGINIA,2521 Exeter Square Ln,Sacramento,CA,95825-6477,924 AMBERWOOD RD,SACRAMENTO,CA,95864
A,MARLYN,8201 Cottonglen Way,Sacramento,CA,95828-4409,7601 LAKEWOOD PARK DR,SACRAMENTO,CA,95828
A,MARLYN,8201 Cottonglen Way,Sacramento,CA,95828-4409,8109 INGLESIDE WAY,SACRAMENTO,CA,95828
A,ROBERT,2817 Garden Hwy,Sacramento,CA,95833-9744,202 SANTIAGO AVE,SACRAMENTO,CA,95815
A,ROBERT,2817 Garden Hwy,Sacramento,CA,95833-9744,2398 AMERICAN AVE,SACRAMENTO,CA,95833
A,ROBERT,2817 Garden Hwy,Sacramento,CA,95833-9744,360 CLEVELAND AVE,SACRAMENTO,CA,95833
A & B PROPERTIES INC,,9920 Cortino Way,Elk Grove,CA,95757-3051,1 WEOTT CT,SACRAMENTO,CA,95823
A & B PROPERTIES INC,,9920 Cortino Way,Elk Grove,CA,95757-3051,5640 GEARNY DR,SACRAMENTO,CA,95823
A & B PROPERTIES INC,,9920 Cortino Way,Elk Grove,CA,95757-3051,7193 SURREYWOOD WAY,SACRAMENTO,CA,95823
AAA BENEFIT REVOC TRUST,,2 Scripps Dr Ste 307,Sacramento,CA,95825-6207,2350 WYDA WAY,SACRAMENTO,CA,95825
AAA BENEFIT REVOC TRUST,,2 Scripps Dr Ste 307,Sacramento,CA,95825-6207,2360 WYDA WAY,SACRAMENTO,CA,95825
AAA FAMILY TRUST,,1129 Swanston Dr,Sacramento,CA,95818-3411,2171 51ST AVE,SACRAMENTO,CA,95822
AAA FAMILY TRUST,,1129 Swanston Dr,Sacramento,CA,95818-3411,6647 CHANDLER DR,SACRAMENTO,CA,95828
ABDUL,NOOR,1520 Farmgate Cir,Roseville,CA,95747-4602,3840 LANKERSHIM WAY,NORTH HIGHLANDS,CA,95660
ABDUL,NOOR,1520 Farmgate Cir,Roseville,CA,95747-4602,4118 PAINTER WAY,NORTH HIGHLANDS,CA,95660
ABEL,SANCHEZ,4713 37th Ave,Sacramento,CA,95824-1448,4951 MENDOCINO BLVD,SACRAMENTO,CA,95820
ABEL,SANCHEZ,4713 37th Ave,Sacramento,CA,95824-1448,5317 MENDOCINO BLVD,SACRAMENTO,CA,95820
ABEL,SANCHEZ,4713 37th Ave,Sacramento,CA,95824-1448,760 HAYES AVE,SACRAMENTO,CA,95838
ACE NORTH SAC LLC,,6210 W 4th St,Rio Linda,CA,95673-4029,1101 ODONNELL AVE,SACRAMENTO,CA,95838
ACE NORTH SAC LLC,,6210 W 4th St,Rio Linda,CA,95673-4029,1103 ODONNELL AVE,SACRAMENTO,CA,95838
ACE NORTH SAC LLC,,6210 W 4th St,Rio Linda,CA,95673-4029,1130 ODONNELL AVE,SACRAMENTO,CA,95838
ACE NORTH SAC LLC,,6210 W 4th St,Rio Linda,CA,95673-4029,207 DEWITT CT,SACRAMENTO,CA,95838
ACE NORTH SAC LLC,,6210 W 4th St,Rio Linda,CA,95673-4029,4037 MARYSVILLE BLVD,SACRAMENTO,CA,95838
ACE NORTH SAC LLC,,6210 W 4th St,Rio Linda,CA,95673-4029,900 RIO ROBLES AVE,SACRAMENTO,CA,95838
ADAM,KUANG,1230 Alemany Blvd,San Francisco,CA,94112-1404,4412 79TH ST,SACRAMENTO,CA,95820
ADAM,KUANG,1230 Alemany Blvd,San Francisco,CA,94112-1404,6290 VALLEY HI DR,SACRAMENTO,CA,95823
ADRIAN,RECIO,3735 Shining Star Dr,Sacramento,CA,95823-6227,2845 POQUITA ST,SACRAMENTO,CA,95815
ADRIAN,RECIO,3735 Shining Star Dr,Sacramento,CA,95823-6227,3735 SHINING STAR DR,SACRAMENTO,CA,95823
AFROZ,ZAMAN,3805 1st Ave,Sacramento,CA,95817-2103,4741 40TH AVE,SACRAMENTO,CA,95824
AFROZ,ZAMAN,3805 1st Ave,Sacramento,CA,95817-2103,5606 VISTA AVE,SACRAMENTO,CA,95824
AFROZ,ZAMAN,3805 1st Ave,Sacramento,CA,95817-2103,6217 BURNS WAY,SACRAMENTO,CA,95824
AILEEN,KUO,619 19th Ave,San Francisco,CA,94121-3829,100 SUN SHOWER CIR,SACRAMENTO,CA,95823
AILEEN,KUO,619 19th Ave,San Francisco,CA,94121-3829,120 SUN SHOWER CIR,SACRAMENTO,CA,95823
AILEEN,KUO,619 19th Ave,San Francisco,CA,94121-3829,7437 SUN CASTLE LN,SACRAMENTO,CA,95823
AIYUB,ALI,8905 Shasta Lily Dr,Elk Grove,CA,95624-3863,5672 WILKINSON ST,SACRAMENTO,CA,95824
AIYUB,ALI,8905 Shasta Lily Dr,Elk Grove,CA,95624-3863,5821 79TH ST,SACRAMENTO,CA,95824
AIYUB,ALI,8905 Shasta Lily Dr,Elk Grove,CA,95624-3863,7800 DALEWOODS WAY,SACRAMENTO,CA,95828
AJAY,MENGI,810 Hawkcrest Cir,Sacramento,CA,95835-2011,251 MCDANIEL CIR,SACRAMENTO,CA,95838
AJAY,MENGI,810 Hawkcrest Cir,Sacramento,CA,95835-2011,3140 IBERIAN DR,SACRAMENTO,CA,95833
AJAY,MENGI,810 Hawkcrest Cir,Sacramento,CA,95835-2011,7208 WILLOWRIVER CT,SACRAMENTO,CA,95828
AJAY,MENGI,510 Hawkcrest Cir,Sacramento,CA,95835-2033,11125 WOODKIRK CT,RANCHO CORDOVA,CA,95670
AJAY,MENGI,510 Hawkcrest Cir,Sacramento,CA,95835-2033,4441 39TH AVE,SACRAMENTO,CA,95824
AJC REVOC TRUST,,210 Lyman Cir,Sacramento,CA,95835-1231,2796 67TH AVE,SACRAMENTO,CA,95822
AJC REVOC TRUST,,210 Lyman Cir,Sacramento,CA,95835-1231,7652 DENISE ST,SACRAMENTO,CA,95832
AJS TRUST,,PO Box 38819,Sacramento,CA,95838-0819,118 BUTTERWORTH AVE,SACRAMENTO,CA,95838
AJS TRUST,,PO Box 38819,Sacramento,CA,95838-0819,125 BUTTERWORTH AVE,SACRAMENTO,CA,95838
AJS TRUST,,PO Box 38819,Sacramento,CA,95838-0819,194 CATHCART AVE,SACRAMENTO,CA,95838
AJS TRUST,,PO Box 38819,Sacramento,CA,95838-0819,3301 BRANCH ST,SACRAMENTO,CA,95838
AJS TRUST,,PO Box 38819,Sacramento,CA,95838-0819,3704 NATOMA WAY,SACRAMENTO,CA,95838
AJS TRUST,,PO Box 38819,Sacramento,CA,95838-0819,440 MOREY AVE,SACRAMENTO,CA,95838
AJSC ALLIANCE LLC,,2173 17th Ave,San Francisco,CA,94116-1855,6512 DAWSON WAY,SACRAMENTO,CA,95823
AJSC ALLIANCE LLC,,2173 17th Ave,San Francisco,CA,94116-1855,7479 RED WILLOW ST,SACRAMENTO,CA,95822
AKX RENTALS LLC,,5451 Warehouse Way Ste 105,Sacramento,CA,95826-4936,4961 ALCOTT DR,SACRAMENTO,CA,95820
AKX RENTALS LLC,,5451 Warehouse Way Ste 105,Sacramento,CA,95826-4936,5000 ALCOTT DR,SACRAMENTO,CA,95820
AKX RENTALS LLC,,5451 Warehouse Way Ste 105,Sacramento,CA,95826-4936,5201 ALCOTT DR,SACRAMENTO,CA,95820
AKX RENTALS LLC,,5451 Warehouse Way Ste 105,Sacramento,CA,95826-4936,5221 ALCOTT DR,SACRAMENTO,CA,95820
AKX RENTALS LLC,,5451 Warehouse Way Ste 105,Sacramento,CA,95826-4936,5230 ALCOTT DR,SACRAMENTO,CA,95820
AKX RENTALS LLC,,5451 Warehouse Way Ste 105,Sacramento,CA,95826-4936,5300 ALCOTT DR,SACRAMENTO,CA,95820
AKX RENTALS LLC,,5451 Warehouse Way Ste 105,Sacramento,CA,95826-4936,5320 ALCOTT DR,SACRAMENTO,CA,95820
AKX RENTALS LLC,,5451 Warehouse Way Ste 105,Sacramento,CA,95826-4936,5530 ONTARIO ST,SACRAMENTO,CA,95820
ALBERT,TAPIA,7619 W Vista Way,Sacramento,CA,95831-4258,5420 LAWRENCE DR,SACRAMENTO,CA,95820
ALBERT,TAPIA,7619 W Vista Way,Sacramento,CA,95831-4258,6136 SAMPSON BLVD,SACRAMENTO,CA,95824
ALEX,FONG,5341 Michael Way,Sacramento,CA,95822-3062,210 SUN SHOWER CIR,SACRAMENTO,CA,95823
ALEX,FONG,5341 Michael Way,Sacramento,CA,95822-3062,3170 38TH AVE,SACRAMENTO,CA,95824
ALEX,FONG,5341 Michael Way,Sacramento,CA,95822-3062,7689 FRANKLIN BLVD,SACRAMENTO,CA,95823
Alex T & Diep T Nguyen Revocable Trust,,8779 Shasta Lily Dr,Elk Grove,CA,95624-3861,5200 Galaxy Pkwy,Sacramento,CA,95823
Alex T & Diep T Nguyen Revocable Trust,,8779 Shasta Lily Dr,Elk Grove,CA,95624-3861,7901 Lorin Ave,Sacramento,CA,95828
ALEXANDER,LAWRENCE,3555 S El Camino Real # 409,San Mateo,CA,94403-3415,3200 SAN JOSE WAY,SACRAMENTO,CA,95817
ALEXANDER,LAWRENCE,3555 S El Camino Real # 409,San Mateo,CA,94403-3415,3449 10TH AVE,SACRAMENTO,CA,95817
"ALEXANDER,J HOEFFNER FAMILY TRUST",,3240 Libby Way,Sacramento,CA,95821-4148,2381 GIBSON ST,SACRAMENTO,CA,95815
"ALEXANDER,J HOEFFNER FAMILY TRUST",,3240 Libby Way,Sacramento,CA,95821-4148,4005 W NICHOLS AVE,SACRAMENTO,CA,95820
ALFREDO,DIAZ,202 Johnston Rd,Sacramento,CA,95815-3731,320 SANTIAGO AVE,SACRAMENTO,CA,95815
ALFREDO,DIAZ,202 Johnston Rd,Sacramento,CA,95815-3731,350 SANTIAGO AVE,SACRAMENTO,CA,95815
ALFREDO,NAVEA,7445 Circle Pkwy,Sacramento,CA,95823-3125,7445 CIRCLE PKWY,SACRAMENTO,CA,95823
ALFREDO,NAVEA,7445 Circle Pkwy,Sacramento,CA,95823-3125,8227 UNION HOUSE WAY,SACRAMENTO,CA,95823
ALICE,WU,505 S Raleigh St,Denver,CO,80219-2547,1712 NEIHART AVE,SACRAMENTO,CA,95832
ALICE,WU,505 S Raleigh St,Denver,CO,80219-2547,591 REDWOOD AVE,SACRAMENTO,CA,95815
ALLEN FAMILY REVOC LIVING TRUST 201 ETAL,,PO Box 5711,Sacramento,CA,95817-0711,3938 33RD ST,SACRAMENTO,CA,95820
ALLEN FAMILY REVOC LIVING TRUST 201 ETAL,,PO Box 5711,Sacramento,CA,95817-0711,4004 33RD ST,SACRAMENTO,CA,95820
ALLEN FAMILY REVOC LIVING TRUST 201 ETAL,,PO Box 5711,Sacramento,CA,95817-0711,4008 33RD ST,SACRAMENTO,CA,95820
ALLEN FAMILY REVOC LIVING TRUST 2013 ETAL,,PO Box 5711,Sacramento,CA,95817-0711,3202 33RD ST,SACRAMENTO,CA,95817
ALLEN FAMILY REVOC LIVING TRUST 2013 ETAL,,PO Box 5711,Sacramento,CA,95817-0711,3207 SAN JOSE WAY,SACRAMENTO,CA,95817
ALLEN FAMILY REVOC LIVING TRUST 2013 ETAL,,PO Box 5711,Sacramento,CA,95817-0711,3411 SAN JOSE WAY,SACRAMENTO,CA,95817
ALLEN FAMILY REVOC LIVING TRUST 2013 ETAL,,PO Box 5711,Sacramento,CA,95817-0711,3732 42ND ST,SACRAMENTO,CA,95820
ALLEN FAMILY REVOC LIVING TRUST 2013 ETAL,,PO Box 5711,Sacramento,CA,95817-0711,3960 17TH AVE,SACRAMENTO,CA,95820
ALLEN FAMILY REVOC LIVING TRUST 2013 ETAL,,PO Box 5711,Sacramento,CA,95817-0711,4002 36TH ST,SACRAMENTO,CA,95820
ALLSUP FAMILY 2001 TRUST,,4503 Rigel Ct,Shingle Springs,CA,95682-5011,5021 LIPPITT LN,SACRAMENTO,CA,95820
ALLSUP FAMILY 2001 TRUST,,4503 Rigel Ct,Shingle Springs,CA,95682-5011,5200 CABRILLO WAY,SACRAMENTO,CA,95820
ALLSUP INVESTMENTS LLC,,1541 San Ardo Dr,San Jose,CA,95125-5341,6320 SUNRISE SOUTH DR,SACRAMENTO,CA,95824
ALLSUP INVESTMENTS LLC,,1541 San Ardo Dr,San Jose,CA,95125-5341,6425 SUN RIVER DR,SACRAMENTO,CA,95828
ALPINE HOLDINGS INC,,5098 Foothills Blvd # 3-333,Roseville,CA,95747-6526,4408 6TH AVE,SACRAMENTO,CA,95820
ALPINE HOLDINGS INC,,5098 Foothills Blvd # 3-333,Roseville,CA,95747-6526,616 LINDSAY AVE,SACRAMENTO,CA,95838
ALPINE HOLDINGS INC,,3805 Atherton Rd Ste 101,Rocklin,CA,95765-3703,1022 FRIENZA AVE,SACRAMENTO,CA,95815
ALPINE HOLDINGS INC,,3805 Atherton Rd Ste 101,Rocklin,CA,95765-3703,3531 SANTA CRUZ WAY,SACRAMENTO,CA,95817
ALPINE HOLDINGS INCORPORATED,,3805 Atherton Rd Ste 101,Rocklin,CA,95765-3703,1140 ODONNELL AVE,SACRAMENTO,CA,95838
ALPINE HOLDINGS INCORPORATED,,3805 Atherton Rd Ste 101,Rocklin,CA,95765-3703,3660 PINELL ST,SACRAMENTO,CA,95838
ALPINE HOLDINGS INCORPORATED,,3805 Atherton Rd Ste 101,Rocklin,CA,95765-3703,660 ACACIA AVE,SACRAMENTO,CA,95815
ALPINE HOLDINGS INCORPORATED,,3805 Atherton Rd Ste 101,Rocklin,CA,95765-3703,6690 HOMETOWN WAY,SACRAMENTO,CA,95828
ALVERNAZ ENTS LLC,,11207 Fulkerth Rd,Turlock,CA,95380-9310,5703 28TH ST,SACRAMENTO,CA,95824
ALVERNAZ ENTS LLC,,11207 Fulkerth Rd,Turlock,CA,95380-9310,5978 LAGUNA RANCH CIR,SACRAMENTO,CA,95823
ALVERNAZ ENTS LLC,,11207 Fulkerth Rd,Turlock,CA,95380-9310,7013 5TH PKWY,SACRAMENTO,CA,95823
ALVERNAZ PARTNERS LLC,,1777 N California Blvd Ste 305,Walnut Creek,CA,94596-4192,2299 EMPRESS ST,SACRAMENTO,CA,95815
ALVERNAZ PARTNERS LLC,,1777 N California Blvd Ste 305,Walnut Creek,CA,94596-4192,2311 CAMBRIDGE ST,SACRAMENTO,CA,95815
ALVERNAZ PARTNERS LLC,,1777 N California Blvd Ste 305,Walnut Creek,CA,94596-4192,2359 BOXWOOD ST,SACRAMENTO,CA,95815
AMANA,AL,8073 Abo Zayed Ln,Sacramento,CA,95828-6762,5220 SKY PKWY,SACRAMENTO,CA,95823
AMANA,AL,8073 Abo Zayed Ln,Sacramento,CA,95828-6762,7009 3RD PKWY,SACRAMENTO,CA,95823
AMARJIT,KAUR,161 Aldeburgh Cir,Sacramento,CA,95834-2543,416 SEXTANT WAY,SACRAMENTO,CA,95838
AMARJIT,KAUR,161 Aldeburgh Cir,Sacramento,CA,95834-2543,948 RIVERA DR,SACRAMENTO,CA,95838
AMERICAN FREEDOM LLC,,8359 Elk Grove Florin Rd,Sacramento,CA,95829-9298,7662 LAURIE WAY,SACRAMENTO,CA,95832
AMERICAN FREEDOM LLC,,8359 Elk Grove Florin Rd,Sacramento,CA,95829-9298,7905 RICHION DR,SACRAMENTO,CA,95823
AMI,CHANDRA,8924 Laguna Star Dr,Elk Grove,CA,95758-6241,1601 ARMINGTON AVE,SACRAMENTO,CA,95832
AMI,CHANDRA,8924 Laguna Star Dr,Elk Grove,CA,95758-6241,3391 JOLA CIR,SACRAMENTO,CA,95832
AMI,CHANDRA,8924 Laguna Star Dr,Elk Grove,CA,95758-6241,7684 25TH ST,SACRAMENTO,CA,95832
AMI,CHANDRA,8924 Laguna Star Dr,Elk Grove,CA,95758-6241,7710 DETROIT BLVD,SACRAMENTO,CA,95832
AMIR,ZAKI,8585 Oak Ave,Orangevale,CA,95662-2335,1825 VERANO ST,SACRAMENTO,CA,95838
AMIR,ZAKI,8585 Oak Ave,Orangevale,CA,95662-2335,1965 GRAND AVE,SACRAMENTO,CA,95838
AMIR,ZAKI,8585 Oak Ave,Orangevale,CA,95662-2335,225 OLMSTEAD DR,SACRAMENTO,CA,95838
AMIR,ZAKI,8585 Oak Ave,Orangevale,CA,95662-2335,2930 LAND AVE,SACRAMENTO,CA,95815
AMIR,ZAKI,8585 Oak Ave,Orangevale,CA,95662-2335,3100 SANTA CRUZ WAY,SACRAMENTO,CA,95817
AMIR,ZAKI,8585 Oak Ave,Orangevale,CA,95662-2335,549 MORRISON AVE,SACRAMENTO,CA,95838
AMIR,NADEEM,9196 New Era Ct,Elk Grove,CA,95758-1229,3530 24TH AVE,SACRAMENTO,CA,95820
AMIR,NADEEM,9196 New Era Ct,Elk Grove,CA,95758-1229,4961 36TH ST,SACRAMENTO,CA,95820
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,136 PULSAR CIR,SACRAMENTO,CA,95822
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,139 PULSAR CIR,SACRAMENTO,CA,95822
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,1425 68TH AVE,SACRAMENTO,CA,95822
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,1521 BELINDA WAY,SACRAMENTO,CA,95822
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,2107 62ND AVE,SACRAMENTO,CA,95822
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,2511 YREKA AVE,SACRAMENTO,CA,95822
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,3371 JOLA CIR,SACRAMENTO,CA,95832
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,6987 MAYNARD WAY,SACRAMENTO,CA,95823
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,7264 LOMA VERDE WAY,SACRAMENTO,CA,95822
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,75 PULSAR CIR,SACRAMENTO,CA,95822
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,7585 TAMOSHANTER WAY,SACRAMENTO,CA,95822
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,79 QUASAR CIR,SACRAMENTO,CA,95822
AMIT,GOGIA,9547 Sea Cliff Way,Elk Grove,CA,95758-7130,91 QUASAR CIR,SACRAMENTO,CA,95822
AMITABH,CHANDRA,10380 Calvine Rd,Sacramento,CA,95829-9439,6613 RODOLFO CT,SACRAMENTO,CA,95823
AMITABH,CHANDRA,10380 Calvine Rd,Sacramento,CA,95829-9439,6615 RODOLFO CT,SACRAMENTO,CA,95823
AMONRA 1 LLC,,8000 Fox Meadow Ln,Granite Bay,CA,95746-8124,4141 CORNELIA WAY,NORTH HIGHLANDS,CA,95660
AMONRA 1 LLC,,8000 Fox Meadow Ln,Granite Bay,CA,95746-8124,6401 COLETTE WAY,NORTH HIGHLANDS,CA,95660
AMRIK,CHIMA,1933 Naomi Way,Sacramento,CA,95815-1937,2100 EL CAMINO AVE,SACRAMENTO,CA,95821
AMRIK,CHIMA,1933 Naomi Way,Sacramento,CA,95815-1937,4008 32ND ST,SACRAMENTO,CA,95820
AMY,MOORE,1124 River Rock Dr,Folsom,CA,95630-2029,2154 BLUEBIRD LN,SACRAMENTO,CA,95821
AMY,MOORE,1124 River Rock Dr,Folsom,CA,95630-2029,4156 STEPHEN DR,NORTH HIGHLANDS,CA,95660
AMY,MOORE,1124 River Rock Dr,Folsom,CA,95630-2029,4852 MONET WAY,SACRAMENTO,CA,95842
AMY,SONG,6809 Leatherwood Way,Sacramento,CA,95842-1959,3805 BELDEN ST,SACRAMENTO,CA,95838
